Plant,,Material,,,Work Center,Fiscal Week,Overall Result,40.2020,41.2020,42.2020,43.2020,44.2020,45.2020,46.2020,47.2020,48.2020,49.2020,50.2020,51.2020,52.2020,01.2021,02.2021,03.2021,04.2021,05.2021,06.2021,07.2021,08.2021,09.2021,10.2021,11.2021,12.2021,13.2021,14.2021,15.2021,16.2021,17.2021,18.2021,19.2021,20.2021,21.2021,22.2021,23.2021,24.2021,25.2021,26.2021,27.2021,28.2021,29.2021,30.2021,31.2021,32.2021,33.2021,34.2021,35.2021,36.2021,37.2021,38.2021,39.2021,Prod. Freq,ME/HR/BUoM (CS),Unc. Line Speed/Hr/BUoM (CS),Syrup MatNr,Syrup AltBOM,Syrup #Components,Setup Group,SetupMin,SetupMax,Comments
0279,Mölln,200083,1LPLBTR1X12 Mezzo Speciality Mix,Net Production Quantity,BPETML,A02 RR PET,500820.999,,26389,16493.001,19831,16266,,43135.999,,,33079,19855,19800,13120,,,,,19591,16456,19863,,16478,,,,,,,,16440.001,,,,22984.999,18052.999,18094,,27310.001,21257,24302,21157,,,,,,23666,,,,27200,,0.4423076923,#DIV/0!,#DIV/0!,WATER?,,5,?,45,60,
0279,Mölln,200100,1LPLBTR1X12 COKE LT PLUS LMN C,Net Production Quantity,BPETMK,A01 RR PET,19303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,9679,,,,9624,,,,,,,,,,,0.0384615385,#DIV/0!,#DIV/0!,WATER?,,6,?,45,60,
0279,Mölln,200100,1LPLBTR1X12 COKE LT PLUS LMN C,Net Production Quantity,BPETML,A02 RR PET,47996.001,,,,9545,,,,,,,,9600,,,,,,,,0,,,,9772,,,,,,9568,,,,,,,,,,,,,,,,,9511.001,,,,,,0.0961538462,#DIV/0!,#DIV/0!,WATER?,,6,?,45,60,
0279,Mölln,200382,1LPLBTR1X12 COKE ZERO CAFFEINE-FREE,Net Production Quantity,BPETMK,A01 RR PET,269220.999,12786,,,,15647.999,,15440.001,18159,14224,,,13080,,9008,,14265,0,,,,,16778,,,10421,,13072,,,,,10296,,,,,10188,,17996,,18266,9010.999,10354.001,,,9008,,10232,,20989,,,0.3846153846,#DIV/0!,#DIV/0!,WATER?,,4,?,45,60,
0279,Mölln,200382,1LPLBTR1X12 COKE ZERO CAFFEINE-FREE,Net Production Quantity,BPETML,A02 RR PET,242997.001,,,16782,15400,,,,,,,12830,,,,,,8954,,15615,15541,,,15675,15450,,9040,,,14102,11352,13867,,14192,11440,11510,18087.001,,14175,,,,,,,,,,,,,8985,,0.3461538462,#DIV/0!,#DIV/0!,WATER?,,4,?,45,60,
0279,Mölln,200938,1LPLBTR1X12 VAN COKE,Net Production Quantity,BPETMK,A01 RR PET,184322.998,15340,,,,11368,,13870,,,8940,,12838,,,,,10160,,,,,7548,10190.999,,7653,,,7616,10199,,,,10172,,,,,,,17986,8878,,,11312,,8836.999,,11414.999,,,,,0.3269230769,#DIV/0!,#DIV/0!,WATER?,,4,?,45,60,
0279,Mölln,200938,1LPLBTR1X12 VAN COKE,Net Production Quantity,BPETML,A02 RR PET,48703,,,,,,,,,,,,,,,,,,,,14139.001,,,,,,7662,,,0,,,,,,12821.999,,,,,,,,,,,,,,,14080,,,0.0769230769,#DIV/0!,#DIV/0!,WATER?,,4,?,45,60,
0279,Mölln,200991,1LPLBTR1X12 Mezzo Mix Zero,Net Production Quantity,BPETMK,A01 RR PET,129856,,,,,,,,,,,12940,,,9752,,13100.001,,,,,,,,,,13298,8100,,9299,,9760,9717,,13065,,,9680,,,,,,9700,,,,,,,,11445,,0.2307692308,#DIV/0!,#DIV/0!,WATER?,,3,?,45,60,
0279,Mölln,200991,1LPLBTR1X12 Mezzo Mix Zero,Net Production Quantity,BPETML,A02 RR PET,180076.999,13034.999,,12750,,13080,,,12869,,,,,9638,,,,,9822,,13148,,9720,,13212,,,,,,,,,,,,9740,,9640,,12997,9648,,,,,16163,,14615,,,,,0.2884615385,#DIV/0!,#DIV/0!,WATER?,,3,?,45,60,
0279,Mölln,201101,1LPLBTR1X12 CHERRY COKE,Net Production Quantity,BPETMK,A01 RR PET,71892.001,12588,,,,11015,,,,,,,10965,,,,,9416,,,,,,,,,,,,,,,,,,,,,,9340,,,,9303,,9265.001,,,,,,,,0.1346153846,#DIV/0!,#DIV/0!,WATER?,,3,?,45,60,
0279,Mölln,201101,1LPLBTR1X12 CHERRY COKE,Net Production Quantity,BPETML,A02 RR PET,126058.999,,,,,,,,,12730.999,,,,,,,,,,,11004,,9463,11066,,,9459,,,12554,,9370,,,11032,,11020,,,,,9536,,,,,,,9410,,9414,,,0.2307692308,#DIV/0!,#DIV/0!,WATER?,,3,?,45,60,
0279,Mölln,201184,1LPLBTR1X12 Coke Zero,Net Production Quantity,BPETMK,A01 RR PET,910349.998,28452,,,,27120.999,27118,38226.999,,25921.999,51461.999,29620.001,0,,23271.001,29944.001,28440,26960,,,,,,36216,,47010,,31261,35994,31738,,,4151,,,,,27255,,55222,49028.999,51333.001,27280,,,,33315.999,41136,42632,60240.001,,,,0.5,#DIV/0!,#DIV/0!,WATER?,,4,?,45,60,
0279,Mölln,201184,1LPLBTR1X12 Coke Zero,Net Production Quantity,BPETML,A02 RR PET,940830.919,,36378,23316,29435,,,,27316,14970,,11547,35707.917,50171,,,,,29656,25621.001,37366,,34816,,36289,,36250,,,,26920,40789.001,23667,30639.999,36571,44078.999,37578.001,,48887,,,,,26486,41692,47486,,,,,36080,37367.999,33749,0.5384615385,#DIV/0!,#DIV/0!,WATER?,,4,?,45,60,
0279,Mölln,201222,1LPLBTR1X12 FANTA ORANGE NO SGR,Net Production Quantity,BPETMK,A01 RR PET,166334,,,15595.001,,,12996,,,,15717,,,,,10336,,14330,,,,,,15597,,,,,13115,,,,14160,,12958,12859,13031,,,,,,15640,,,,,,,,,,,0.2307692308,#DIV/0!,#DIV/0!,WATER?,,3,?,45,60,
0279,Mölln,201222,1LPLBTR1X12 FANTA ORANGE NO SGR,Net Production Quantity,BPETML,A02 RR PET,189782.001,12826,,,,,,,12994,,,,13074,13004,,,,,,14347.001,,,13034,,,,,,,,14226,,,,,,,,,12898,13071,,,,14267,,13065,,14382.001,,15608,,12986,0.2692307692,#DIV/0!,#DIV/0!,WATER?,,3,?,45,60,
0279,Mölln,203025,1LPLBTR1X12 FANTA NO SGR MNDRN,Net Production Quantity,BPETMK,A01 RR PET,103151,,,11960,,,,,,,,,,,14480,,,,,,,,,12069,,,11949,,,9489,,,0,,,12080,,,9560,,,,9542,,,12022,,,,,,,,0.1730769231,#DIV/0!,#DIV/0!,WATER?,,2,?,45,60,
0279,Mölln,203025,1LPLBTR1X12 FANTA NO SGR MNDRN,Net Production Quantity,BPETML,A02 RR PET,102985.001,9623,,,,9611,,,,10799,,15696,0,,,,,,,14487.001,,,,,,,,,,,,,,9412,,,,,,,9397,,,,,,,,11919.999,,,,12040,0.1730769231,#DIV/0!,#DIV/0!,WATER?,,2,?,45,60,
0280,Lüneburg,200029,1.5LPLBTN1X6 VIO BY APOLLINARIS,Net Production Quantity,BPETP3,A03 NR PET,1162496,,118592,,,20224,,33024,,,,59008,,,,80640,,,36160,77760,,,35584,,,105664,,,,187968,,,,,50304,768,,,155264,,,80128,,,,,,50432,,,70976,,,0.3076923077,#DIV/0!,#DIV/0!,WATER?,,,?,40,120,
0280,Lüneburg,200030,500MLPLBTN18X1 VIO BY APOLLINARIS,Net Production Quantity,BPETP3,A03 NR PET,1234224,,,,,103968,5616,,,,126504,,,,117936,37008,40392,,,,,,,,,,,,,,,32832,,,23184,19944,,,,56232,187272,,,34992,163296,72144,,162576,,,,50328,,0.3076923077,#DIV/0!,#DIV/0!,WATER?,,,?,70,150,
0280,Lüneburg,200030,500MLPLBTN18X1 VIO BY APOLLINARIS,Net Production Quantity,BPETP4,A01 NR PET,549288,,13320,0,,,,,,,,,,,,,,,,,,,,,,41400,,,81936,6984,,,,98208,147096,,,,62280,,39600,9360,,,,,36864,,,12240,,,,0.2115384615,#DIV/0!,#DIV/0!,WATER?,,,?,90,150,
0280,Lüneburg,200031,500MLPLBTN6X3 VIO BY APOLLINARIS,Net Production Quantity,BPETP4,A01 NR PET,257760,,15048,,,,,,,,,,11232,,,20016,,,,,,,,,,5256,13176,,2160,18648,,,14832,27144,,,,23328,,17424,,25632,,23904,,,39960,,,,,,,0.2692307692,#DIV/0!,#DIV/0!,WATER?,,,?,90,150,
0280,Lüneburg,200032,1.5LPLBTN6X1 VIO BY APOLLINARIS,Net Production Quantity,BPETP3,A03 NR PET,1498728,119616,66780,,,,,120204,,,,,131712,,,48636,33432,,79380,69972,,,,,30828,51324,49980,,37128,42588,,,67200,90384,,,,106848,,,,70056,,104076,,77196,,,,,101388,,,0.3846153846,#DIV/0!,#DIV/0!,WATER?,,,?,30,120,
