EXPORTDAT,LAEDA,ERSDA,MATNR,MAKTG,MTART,MATKL,MEINS,CS_PAL,PAL_Anzahl,EA_Anzahl,PMU_Anzahl,ZUC_Anzahl,LAYERS_PAL,CS_LAYERS,/SCL/MIXED_PROD,/SCL/RET,Description /SCL/RET,/SCL/PKG,Description /SCL/PKG,/SCL/PSIZE,Description /SCL/PSIZE,/SCL/PTYPE,Bezeichung /SCL/PTYPE,/SCL/SLUN,Description /SCL/SLUN,/SCL/BRAND,Description /SCL/BRAND,MHDHB,MHDRZ,/SCL/RTD,/SCL/MATRTY_DUR,/SCL/SHLIFREQMAX,MFRPN,BRGEW,NTGEW,VOLUM,VOLEH,LAENG,BREIT,HOEHE,MEABM,/SCL/QUARTIME,MSTAE,/SCL/PROMI,Bezeichung /SCL/PROMI,/SCL/CATBRNDTY,Description /SCL/CATBRNDTY,/SCL/PLANNER_S,/SCL/PLANNER_S Description,/SCL/PKGGROUP,Description SCL_PKGGROUP,/SCL/STKFACTOR,STFAK,/SCL/BOARDOBJ,ALL_LOC_PRODUCTS_ND,FlTyp,SNP Planner Check,PG_Reporting,PAL,Description_PAL,Getränkeprodukt
44489,44242,42944,202807,"MM OR SPEZIAL 4/1,5LPEW",ZFER,55121600A,PAC,96,0.0104,4,1,1.0567,,,,Y,EW FP: DPG,3587,1.5-Ltr Plas Btl Nr  4-Pk 4,041,1.5 LTR,018,Plastikflasche,146,4-Pk 4,B1X,Mezzo Mix,180,90,R,0,0,,6.44,6.232,6,L,196,196,303,MM,0,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,2362,N1504,1,,,yes,,,PEW L,,,ABO1
44489,44404,42944,202808,"MM OR SPEZ  6x4/0,5LPEW",ZFER,55121600A,KS,54,0.0185,24,2,2.1134,,,,Y,EW FP: DPG,0130,500-Ml Plas Btl Nr  4-Pk 24,472,500 ML,018,Plastikflasche,151,4-Pk 24,B1X,Mezzo Mix,150,60,R,0,0,,13.18,12.463,12,L,402,268,231,MM,144,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,2226,N0504,1,,,yes,,,"PEW 0,5",,,ABO1
44489,44404,42944,202810,"MM OR SPEZ 5x20/1,5LPEW",ZFER,55121600A,KS,4,0.25,100,25,26.418,,,,Y,EW FP: DPG,7957,1.5-Ltr Plas Btl Nr  1-Ls 100,041,1.5 LTR,018,Plastikflasche,547,1-Ls 100,B1X,Mezzo Mix,180,90,R,0,0,,165.23,155.793,150,L,612,406,1389,MM,144,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,2362,N1504,1,,,yes,STRAIGHT,,PEW L,,,ABO1
44489,44428,42944,202805,"MD CCZ2   FS 0,68LCARDB",ZFER,55121600A,EA,600,0.0017,1,1,9.0454,3,180,,1,EW FP:kein DPG/gr.P.,A2LM,680-ML CRBD BIB NR 1-LS,527,680 ML,004,Bag-In-Box,001,1-Ls,BOD,Coca-Cola Zero,120,45,N,0,0,,0.772,0.707,0.68,L,102.83,32.47,253.02,MM,0,,CI,POM  Postmix,STANDARD,Standardartikel aktiv,212,MD-Freestyle,1127,BIB01FS,1,"1,00",,no,W/O SHAPE,,BIB,356,EUROPALETTE 120X80,A48J
44489,44428,42944,202806,"MD CCZ1    FS 0,68LCARDB",ZFER,55121600A,EA,600,0.0017,1,1,9.0454,3,180,,1,EW FP:kein DPG/gr.P.,A2LM,680-ML CRBD BIB NR 1-LS,527,680 ML,004,Bag-In-Box,001,1-Ls,BOD,Coca-Cola Zero,120,45,N,0,0,,0.788,0.723,0.68,L,102.83,32.47,253.02,MM,0,,CI,POM  Postmix,STANDARD,Standardartikel aktiv,212,MD-Freestyle,1127,BIB01FS,1,"1,00",,no,W/O SHAPE,,BIB,356,EUROPALETTE 120X80,A48J
44489,44242,42948,202812,"MM OR SPEZ   12/1,0L PET",ZFER,55121600A,KS,40,0.025,12,1,2.1134,,,,3,MW FP: KISTE&FLASCHE,0503,1-Ltr Plas Btl Ref  1-Ls 12,007,1 LTR,018,Plastikflasche,012,1-Ls 12,B1X,Mezzo Mix,180,90,R,0,0,,15.43,12.463,12,L,400,300,330,MM,144,01,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,1401,R100,1,,,yes,,,PET L,,,ABO1
44489,44391,42948,202811,"IMPORT CCZ   3x8/0,15LDS",ZFER,55121600A,KS,180,0.0056,24,1,0.634,,,,Y,EW FP: DPG,5492,150-Ml Alum Can Nr  8-Pk 24,122,150 ML,007,Aludose,234,8-Pk 24,BOD,Coca-Cola Zero,180,90,R,0,0,,3.962,3.6,3.6,L,325,216,90.7,MM,0,,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,2108,SUBCAN015,1,,,yes,,,CAN,,,A1VS
44489,44391,42948,202813,"IMPORT CC 3X8/0,15L DS",ZFER,55121600A,KS,180,0.0056,24,1,0.634,,,,Y,EW FP: DPG,5492,150-Ml Alum Can Nr  8-Pk 24,122,150 ML,007,Aludose,234,8-Pk 24,001,Coca-Cola,360,120,R,0,0,,4.101,3.739,3.6,L,325,216,90.7,MM,0,,R,Standardartikel,CLOSED,Gesperrt /SKU Reduziert,,,2108,SUBCAN015,1,,,yes,,,CAN,,,0001
44489,43740,42955,202814,"COCA-COLA IT 24/0,33L SC",ZFER,55121600A,KS,99,0.0101,24,1,1.3949,,,,1,EW FP:kein DPG/gr.P.,0507,330-Ml Alum Can Nr  1-Ls 24,350,330 ML,007,Aludose,023,1-Ls 24,001,Coca-Cola,350,120,R,0,0,,8.84,8.226,7.92,L,354,236,148,MM,0,01,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2119,CAN033EX,1,,GRN_3,yes,,,CAN,,,0001
44489,43656,42956,202816,"FA EX O.PF99x24/0,33L SC",ZFER,55121600A,PAL,1,1,2376,99,138.09,,,,1,EW FP:kein DPG/gr.P.,7368,330-Ml Alum Can Nr  1-Ls 2376,350,330 ML,007,Aludose,396,1-Ls 2376,116,Fanta sonstige,360,120,R,0,0,,875.4,814.36,784.08,L,1200,820,1483,MM,120,01,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2114,CAN033,,,GRN_3,yes,,,CAN,,,4764
44489,43740,42956,202818,"SPR O.PF. 99x24/0,33L SC",ZFER,55121600A,PAL,1,1,2376,99,138.09,,,,1,EW FP:kein DPG/gr.P.,7368,330-Ml Alum Can Nr  1-Ls 2376,350,330 ML,007,Aludose,396,1-Ls 2376,007,Sprite,360,120,R,0,0,,867.7,806.732,784.08,L,1200,820,1483,MM,0,01,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2114,CAN033,,,GRN_3,yes,,,CAN,,,0014
44489,43740,42956,202819,"FA OR O.PF99x24/0,33L SC",ZFER,55121600A,PAL,1,1,2376,99,138.09,,,,1,EW FP:kein DPG/gr.P.,7368,330-Ml Alum Can Nr  1-Ls 2376,350,330 ML,007,Aludose,396,1-Ls 2376,116,Fanta sonstige,360,120,R,0,0,,875.4,814.36,784.08,L,1200,820,1483,MM,0,01,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2114,CAN033,,,GRN_3,yes,,,CAN,,,0232
44489,43740,42956,202820,"CCHERRYoPF99x24/0,33L SC",ZFER,55121600A,PAL,1,1,2376,99,138.09,,,,1,EW FP:kein DPG/gr.P.,7368,330-Ml Alum Can Nr  1-Ls 2376,350,330 ML,007,Aludose,396,1-Ls 2376,001,Coca-Cola,360,120,R,0,0,,875.4,814.36,784.08,L,1200,820,1483,MM,0,01,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2114,CAN033,,,GRN_3,yes,,,CAN,,,0216
44489,43740,42956,202821,COCA-COLAoPf99x24/033LSC,ZFER,55121600A,PAL,1,1,2376,99,138.09,,,,1,EW FP:kein DPG/gr.P.,7368,330-Ml Alum Can Nr  1-Ls 2376,350,330 ML,007,Aludose,396,1-Ls 2376,001,Coca-Cola,360,120,R,0,0,,875.4,814.36,784.08,L,1200,820,1483,MM,0,01,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2114,CAN033,,,GRN_3,yes,,,CAN,,,0001
44489,44007,42956,202815,"CCZ O.PF. 99x24/0,33L SC",ZFER,55121600A,PAL,1,1,2376,99,138.09,,,,1,EW FP:kein DPG/gr.P.,7368,330-Ml Alum Can Nr  1-Ls 2376,350,330 ML,007,Aludose,396,1-Ls 2376,BOD,Coca-Cola Zero,180,90,R,0,0,,845.1,784.08,784.08,L,1200,820,1483,MM,0,01,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2114,CAN033,,,GRN_3,yes,,,CAN,,,A1VS
44489,44007,42956,202817,"CCL O.PF. 99x24/0,33L SC",ZFER,55121600A,PAL,1,1,2376,99,138.09,,,,1,EW FP:kein DPG/gr.P.,7368,330-Ml Alum Can Nr  1-Ls 2376,350,330 ML,007,Aludose,396,1-Ls 2376,002,Coca-Cola light,180,90,R,0,0,,845.1,784.08,784.08,L,1200,820,1483,MM,0,01,CE,EXPO Export,CLOSED,Gesperrt /SKU Reduziert,,,2114,CAN033,,,GRN_3,yes,,,CAN,,,1253
